Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,105.0,1.0,105.0,105.0,0.1,110.51999999999988,0.0,0.0,0.009402751922607422,,,,,,,,,,,,,,,,,,,,,40.81123259592229,36.388956048846445,106.44760934851585,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,886.0,2.0,781.0,886.0,0.1,776.7599999999927,0.0,0.0,75.8211760520935,,,,,,,,,,,,,,,,,,,,,287.359229140798,156.79857888098732,553.4387661345401,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,963.0,3.0,77.0,963.0,0.1,1.539999999999992,0.0,0.0,83.38732123374939,,,,,,,,,,,,,,,,,,,,,-14.69955160116359,7.576569179244138,2.6772172305334254,-21.77053271125956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1251.0,4.0,288.0,1251.0,0.1,311.20000000000067,0.0,0.0,111.08308601379395,,,,,,,,,,,,,,,,,,,,,137.32911725242218,84.28722421736357,272.19332869536487,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1485.0,5.0,234.0,1485.0,0.1,199.04000000000036,0.0,0.0,134.06287622451782,,,,,,,,,,,,,,,,,,,,,84.49512525287588,50.37727163670602,179.62721549460085,-4.990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1557.0,6.0,72.0,1557.0,0.1,39.720000000000006,0.0,0.0,141.21827793121338,,,,,,,,,,,,,,,,,,,,,8.857290990226536,14.82523452959864,39.160557002150995,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1714.0,7.0,157.0,1714.0,0.1,155.56000000000012,0.0,0.0,156.56312012672424,,,,,,,,,,,,,,,,,,,,,64.8503265204412,46.69123152871343,145.66969245150125,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1822.0,8.0,108.0,1822.0,0.1,127.88,0.0,0.0,167.00982880592346,,,,,,,,,,,,,,,,,,,,,53.78161235879366,41.924768155375524,122.31609574063583,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,2135.0,9.0,313.0,2135.0,0.1,335.6400000000007,0.0,0.0,197.68266081809998,,,,,,,,,,,,,,,,,,,,,148.11681108758742,90.4513781345123,289.85886600272494,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,2171.0,10.0,36.0,2171.0,0.1,28.78000000000001,0.0,0.0,201.43366241455078,,,,,,,,,,,,,,,,,,,,,8.525616052380819,11.428799703883563,28.530109511026833,-4.990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
