Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,84.0,1.0,84.0,84.0,0.1,55.276080000000036,0.0,0.0,0.009940147399902344,,,,,,,,,,,,,,,,,,,,,19.383489008225766,17.8323672678514,53.75532381561645,0.00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,114.0,2.0,30.0,114.0,0.1,14.166719999999996,0.0,0.0,3.2454452514648438,,,,,,,,,,,,,,,,,,,,,4.558683007418887,4.7776917519799325,14.058061574865594,0.00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,145.0,3.0,31.0,145.0,0.1,15.594819999999997,0.0,0.0,6.605281114578247,,,,,,,,,,,,,,,,,,,,,4.746757412660794,5.358020871769487,15.478612266127502,0.00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,169.0,4.0,24.0,169.0,0.1,11.738099999999998,0.0,0.0,9.215875625610352,,,,,,,,,,,,,,,,,,,,,3.9029220314019804,3.988990182883752,11.667753710914472,0.00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,207.0,5.0,38.0,207.0,0.1,17.097300000000008,0.0,0.0,13.07791256904602,,,,,,,,,,,,,,,,,,,,,5.365268756909312,5.588745296311633,16.927257374729535,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,317.0,6.0,110.0,317.0,0.1,44.59874000000003,0.0,0.0,24.330501794815063,,,,,,,,,,,,,,,,,,,,,16.93635653464776,13.722470049143338,42.82134064113037,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,370.0,7.0,53.0,370.0,0.1,39.806060000000016,0.0,0.0,29.79828953742981,,,,,,,,,,,,,,,,,,,,,15.926872227588209,12.679505917348132,39.0399766853318,0.29980000019989994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,400.0,8.0,30.0,400.0,0.1,17.66436,0.0,0.0,32.91185283660889,,,,,,,,,,,,,,,,,,,,,6.201035540221246,5.7588659384957355,17.51333809664856,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,427.0,9.0,27.0,427.0,0.1,11.8406,0.0,0.0,35.83380722999573,,,,,,,,,,,,,,,,,,,,,3.63135123160685,4.144111608641876,11.766073898469656,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,480.0,10.0,53.0,480.0,0.1,36.90842000000001,0.0,0.0,41.07823467254639,,,,,,,,,,,,,,,,,,,,,14.190128143064426,12.62191427414868,36.22876450867042,0.29934145870010065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
