Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,102.0,1.0,102.0,102.0,0.1,90.80800000000004,0.0,0.0,0.009436368942260742,,,,,,,,,,,,,,,,,,,,,35.20537477920627,27.352668184919192,87.3917478765261,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,954.0,2.0,852.0,954.0,0.1,946.5270000000083,0.0,0.0,84.16740655899048,,,,,,,,,,,,,,,,,,,,,358.78027094207283,188.6286216465543,642.1298266808886,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,1525.0,3.0,571.0,1525.0,0.1,642.8700000000003,0.0,0.0,140.2019500732422,,,,,,,,,,,,,,,,,,,,,249.43010343830213,150.03326540960342,501.4478050991225,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1802.0,4.0,277.0,1802.0,0.1,299.9309999999991,0.0,0.0,167.70625710487366,,,,,,,,,,,,,,,,,,,,,121.41383013831404,78.18206615318196,266.83276775442806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1895.0,5.0,93.0,1895.0,0.1,110.74600000000012,0.0,0.0,177.22730803489685,,,,,,,,,,,,,,,,,,,,,45.47870014586426,34.449892747793015,106.7298338242493,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1958.0,6.0,63.0,1958.0,0.1,44.79200000000002,0.0,0.0,183.84078454971313,,,,,,,,,,,,,,,,,,,,,14.48663626331256,13.927288640020327,43.967232413004936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,2523.0,7.0,565.0,2523.0,0.1,615.9260000000006,0.0,0.0,239.17734694480896,,,,,,,,,,,,,,,,,,,,,270.2230318892302,142.2062300327694,464.1778785618298,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,2642.0,8.0,119.0,2642.0,0.1,117.68600000000006,0.0,0.0,251.031498670578,,,,,,,,,,,,,,,,,,,,,49.18982907742868,32.6098893613377,112.05641110558608,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,3154.0,9.0,512.0,3154.0,0.1,572.605999999999,0.0,0.0,301.5307719707489,,,,,,,,,,,,,,,,,,,,,249.86818029211588,137.3623210560903,445.5641744752122,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,3282.0,10.0,128.0,3282.0,0.1,139.7660000000002,0.0,0.0,314.25172567367554,,,,,,,,,,,,,,,,,,,,,61.93886959832218,41.3838227970976,132.10189638228292,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
